cluster_id,cluster_global_name,global_description,hard_skills,soft_skills,nb_hard_skills,nb_soft_skills
0,General Job Title Not Provided,"Drives operational excellence by managing teams, processes, and resources to meet production, financial, or business growth targets while ensuring compliance with safety, quality, and governance standards.","inform on workplace safety standards; continuous improvement philosophies; report on production results; ensure equipment maintenance; check quality of products on the production line; initiate contact with sellers; promote health and safety; market analysis; develop revenue generation strategies; lean manufacturing; manage database; analyse production processes for improvement; enforce financial policies; procurement lifecycle; inspect quality of products; manage standard enterprise resource planning system; achieve sales targets; manage data, information and digital content; organise information, objects and resources; maintain a safe, hygienic and secure working environment; develop account strategy; create production schedules; manage schedule of tasks; record production data for quality control; carry out checks of production plant equipment; ensure compliance with disclosure criteria of accounting information; use accounting systems; schedule production; use databases; write production reports; think proactively to secure sales; align efforts towards business development; monitor manufacturing quality standards; optimise production; analyse market financial trends; assess the life cycle of resources; conduct routine machinery checks; analyse consumer buying trends; supervise staff; present arguments persuasively; manage a team; communicate with stakeholders; monitor the use of resources in production; engage with stakeholders; perform data analysis",work in teams; communicate professionally with colleagues in other fields; perform multiple tasks at the same time; provide self management support; cope with challenging demands; delegate responsibilities; meet expectations of target audience; attend to detail; build team spirit; motivate employees; manage relationships with stakeholders; show initiative; coordinate communication within a team; work in an organised manner; deal with challenging work conditions; build trust; build business relationships,45,17
1,Licensed Optician,"Assists customers with eyewear selection, prescription verification, and purchases while maintaining merchandise presentation, processing orders, and ensuring compliance with company policies and procedures.","apply certification and payment procedures; maintain store cleanliness; dispense corrective lenses; check information on prescriptions; operate cash register; record test data; handle fragile items; manage aftersales processes to comply with business standards; sell optical products; handle shipment paperwork; order optical supplies; comply with optical prescriptions; handle financial transactions; record data from biomedical tests; supervise merchandise displays; operate electronic payment terminals; handle contact lenses; operate optical measuring equipment; perform pre-treatment imaging; repair optical equipment; mentor individual employees; evaluate data, information and digital content; communicate with stakeholders; seek innovation in current practices; make decisions; provide mentorship; adhere to organisational code of ethics",work in teams; encourage teambuilding; follow company standards; abide by business ethical code of conducts; build team spirit; solve problems; coordinate communication within a team; provide customer guidance on product selection; direct customers to merchandise; create a work atmosphere of continuous improvement; provide membership service; assist customers; demonstrate willingness to learn; provide customer follow-up services,27,14
2,Advertising Sales Manager,"Drives advertising revenue growth by developing data-driven, full-funnel ad solutions and strategic sales partnerships, leveraging stakeholder engagement and consultative expertise to maximize client adoption and business outcomes.","give live presentation; maximise sales revenues; assist in developing marketing campaigns; carry out sales analysis; deliver a sales pitch; evaluate performance of organisational collaborators; business analytics; make strategic business decisions; problem-solving with digital tools; consult with business clients; manage revenue; provide mentorship; achieve sales targets; think analytically; forecast economic trends; maintain relationship with suppliers; develop account strategy; supplier management; manage several projects; implement sales strategies; implement operational business plans; coordinate advertising campaigns; align efforts towards business development; evaluate data, information and digital content; analyse market financial trends; interpret financial statements; provide training on quality management supervision; present arguments persuasively; identify customer requirements; mentor individual employees; lead a team; ensure compliance with policies; adhere to organisational code of ethics","empower individuals, families and groups; communicate professionally with colleagues in other fields; negotiate compromises; demonstrate trustworthiness; develop contingency plans for emergencies; resolve conflicts; negotiate sales contracts; apply conflict management; maintain relationship with customers; supervise sales activities; adapt to changing situations; develop staff; manage relationships with stakeholders; coordinate communication within a team; ensure client orientation; cooperate with colleagues; gather feedback from employees; negotiate with stakeholders; demonstrate willingness to learn; motivate staff to reach sales targets; build business relationships",33,21
3,Supermarket Refrigeration HVAC Technician,"Maintains and repairs commercial refrigeration/HVAC systems in retail settings, ensuring compliance with safety and environmental regulations while documenting work via digital systems.","inspect machinery; work safely with chemicals; obtain relevant licenses; repair heating equipment; apply health and safety standards; ensure compliance with environmental legislation; inspect industrial equipment; manage maintenance operations; handle refrigerant transfer pumps; repair ventilation equipment; work with chemicals; write records for repairs; ensure compliance with safety legislation; heating, ventilation, air conditioning and refrigeration parts; undertake inspections",respond to emergency calls for repairs; follow safety procedures when working at heights; lift heavy weights; apply various lifting techniques; manage emergency procedures,15,5
4,Manufacturing Operations Specialist,"Oversees daily operations in food processing or manufacturing plants, managing staff, equipment, and freight flow to meet production targets while enforcing safety, quality, and compliance standards.","operate warehouse record systems; operate lifting equipment; continuous improvement philosophies; report on production results; warehouse operations; pallet loading; keep written records of cargo; inspect freight; ensure equipment maintenance; check quality of products on the production line; ensure health and safety in manufacturing; ensure refrigeration of food in the supply chain; maintain system logs; promote health and safety; lean manufacturing; operate warehouse materials; analyse production processes for improvement; keep records of merchandise delivery; inspect quality of products; use a warehouse management system; ensure compliance with shipment regulations; maintain a safe, hygienic and secure working environment; oversee production requirements; maintain logbooks; resolve equipment malfunctions; stack empty pallets; create production schedules; manage schedule of tasks; record production data for quality control; carry out checks of production plant equipment; monitor merchandise delivery; use barcode scanning equipment; operate material handling equipment; schedule production; write production reports; perform warehousing operations; handle scanning material safely; monitor manufacturing quality standards; optimise production; monitor the use of resources in production; perform loading and unloading operations; manage transport of goods from warehouse facilities; supervise staff; communicate test results to other departments; mentor individual employees; analyse supply chain trends; manage a team; communicate with stakeholders; provide improvement strategies; ensure ongoing compliance with regulations; provide mentorship; adhere to organisational code of ethics; meet deadlines; perform data analysis",encourage teambuilding; enhance production workflow; accept criticism and guidance; communicate professionally with colleagues in other fields; communicate performance aspects; delegate responsibilities; abide by business ethical code of conducts; communicate with customers; adapt to changing situations; motivate employees; coordinate communication within a team; cooperate with colleagues; deal with challenging work conditions; adapt to change; liaise with managers; work efficiently; establish daily priorities,54,17
5,General Facilities Maintenance Technician,"Performs routine maintenance, inspections, and repairs on retail facilities and equipment to ensure safety, functionality, and compliance with schedules; may train staff on equipment care.",repair equipment on site; maintain records of maintenance interventions; use word processing software; driver's license structure; write records for repairs; inspect facility sites; ensure equipment maintenance; obtain relevant licenses; use presentation software; use spreadsheets software; perform maintenance on installed equipment; schedule regular machine maintenance; use tools for construction and repair; inspect machinery; manage maintenance operations; operate material handling equipment; inspect industrial equipment; plan maintenance activities; develop preventive maintenance procedures for instruments; perform minor repairs to equipment,meet commitments; respond to emergency calls for repairs; work in teams; encourage teambuilding; adapt to change; provide high quality customer service; accept own accountability; tolerate sitting for long periods; communicate with customers; maintain customer service; build team spirit; manage emergency procedures; adapt to changing situations; cope with challenging demands; manage time,20,15
6,Automotive Service Technician,"Deliver safe, efficient sales and maintenance services by collaborating with team members, leveraging automotive expertise and digital tools to ensure customer satisfaction and operational compliance.","inform on workplace safety standards; demonstrate motivation for sales; use equipment, tools or technology with precision; monitor equipment condition; operate cash register; use ICT resources to solve work related tasks; ensure compliance with safety legislation; handle financial transactions; sales activities; adhere to standards of national and international safety programmes; ensure compliance with company regulations; sales promotion techniques; operation of transport equipment; process payments; use IT systems for commercial purposes; carry out inventory control accuracy; match goods with appropriate packaging according to security procedures; ensure ongoing compliance with regulations; ensure correct goods labelling; create solutions to problems; mentor individual employees; provide improvement strategies; identify process improvements; identify customer requirements; organise information, objects and resources; meet deadlines",accept criticism and guidance; adapt to new technology used in cars; motivate others; represent the company; provide high quality customer service; communicate with customers; solve problems; teach customer service techniques; develop solutions to information issues; coordinate communication within a team; cooperate with colleagues; adapt to change; identify clients' needs; establish daily priorities; support service users in developing skills; provide customer follow-up services; mentor individuals; identify customer's needs,26,18
7,Finance Director,"Drives financial planning, forecasting, and performance analysis to align corporate goals with strategic business targets, supporting cross-functional teams in budgeting, risk mitigation, and payer negotiations.",ensure cross-department cooperation; identify with the company's goals; financial analysis; perform business analysis; communicate analytical insights; perform balance sheet operations; perform financial risk management in international trade; synthesise financial information; perform risk analysis; analyse financial performance of a company; manage several projects; supervise accounting operations; develop financial statistics reports; ensure information transparency; ensure compliance with disclosure criteria of accounting information; ensure compliance with accounting conventions; provide support in financial calculation; analyse financial risk; create a financial plan; evaluate budgets; negotiate terms with suppliers; create a financial report; develop business plans; financial forecasting; continuous improvement philosophies; lead a team; align efforts towards business development; communicate with stakeholders,encourage teambuilding; adjust priorities; communicate professionally with colleagues in other fields; communicate with a non-scientific audience; build team spirit; adapt to changing situations; manage relationships with stakeholders; cope with uncertainty; communicate problems to senior colleagues; keep an open mind; apply change management; deal with challenging people; apply technical communication skills; interact with the board of directors; adapt to change; apply strategic thinking; keep up with digital transformation of industrial processes; build business relationships,28,18
8,Pharmacy Technician,"Supports retail pharmacy operations by processing prescriptions, managing inventory, and delivering customer service while ensuring compliance with company policies and ethical standards.","operate cash register; ensure the appropriate supply in pharmacy; handle financial transactions; maintain pharmacy records; monitor merchandise delivery; keep records of merchandise delivery; process customer orders; handle the logistics of medicinal products; ensure compliance with policies; take pharmaceutical inventory; apply company policies; operate electronic payment terminals; maintain records of clients' prescriptions; adhere to organisational code of ethics; maintain pharmaceutical records; handle shipment paperwork; handle paperwork; mentor individual employees; use ICT resources to solve work related tasks; make data-driven decisions; provide improvement strategies; ensure compliance with company regulations; provide mentorship; organise information, objects and resources",manage medium term objectives; work in teams; encourage teambuilding; accept criticism and guidance; follow company standards; abide by business ethical code of conducts; communicate with customers; build team spirit; adapt to changing situations; manage relationships with stakeholders; coordinate communication within a team; provide customer guidance on product selection; create a work atmosphere of continuous improvement; provide membership service; plan medium to long term objectives; show determination; cooperate with colleagues; contribute to practice innovation in health care; demonstrate curiosity; build rapport with people from different cultural backgrounds; demonstrate willingness to learn; adapt to change; liaise with managers; demonstrate intercultural competence; respect the diversity of cultural values and norms; identify customer's needs,24,26
9,Certified Pharmacy Technician,"Processes high-volume prescriptions for retail pharmacies using automated systems, ensuring accuracy, compliance, and inventory management while maintaining customer service standards and operational efficiency.","ensure the appropriate supply in pharmacy; maintain pharmacy records; process customer orders; prepare doses of medication according to patient needs; take pharmaceutical inventory; maintain records of clients' prescriptions; maintain stock control systems; maintain pharmaceutical records; check information on prescriptions; participate in medical inventory control; operate cash register; safe management of medicines; keep records of merchandise delivery; manage claims process; process medical insurance claims; write routine reports; handle paperwork; handle financial transactions; have computer literacy; prepare prescription labels; operate electronic payment terminals; health and safety regulations; perform records management; process payments; carry out inventory control accuracy; react to events in time-critical environments; mentor individual employees; use ICT resources to solve work related tasks; provide mentorship; apply company policies; organise information, objects and resources",work in teams; encourage teambuilding; customer service; accept criticism and guidance; perform multiple tasks at the same time; follow company standards; abide by business ethical code of conducts; attend to detail; handle stressful situations in the work place; communicate with customers; build team spirit; adapt to changing situations; coordinate communication within a team; provide customer guidance on product selection; provide membership service; cooperate with colleagues; adapt to change; identify customer's needs,31,18
